iter	Passed	Remaining
0	23	7009
1	45	6791
2	73	7303
3	103	7657
4	139	8259
5	161	7926
6	184	7704
7	212	7765
8	239	7742
9	262	7616
10	268	7053
11	289	6943
12	310	6865
13	333	6805
14	357	6800
15	379	6741
16	401	6678
17	423	6635
18	446	6601
19	467	6548
20	473	6295
21	493	6242
22	514	6199
23	535	6156
24	557	6127
25	578	6093
26	599	6065
27	622	6049
28	644	6023
29	665	5991
30	693	6021
31	713	5978
32	734	5942
33	755	5914
34	776	5882
35	801	5874
36	822	5844
37	842	5811
38	862	5773
39	883	5745
40	915	5781
41	960	5898
42	999	5975
43	1022	5951
44	1043	5912
45	1065	5885
46	1090	5867
47	1115	5857
48	1144	5861
49	1165	5825
50	1190	5814
51	1212	5783
52	1234	5752
53	1256	5725
54	1282	5714
55	1303	5680
56	1325	5652
57	1346	5618
58	1368	5590
59	1390	5562
60	1412	5535
61	1435	5509
62	1454	5469
63	1473	5432
64	1491	5393
65	1512	5362
66	1532	5329
67	1551	5294
68	1569	5254
69	1587	5215
70	1606	5181
71	1625	5148
72	1644	5114
73	1664	5083
74	1682	5047
75	1699	5009
76	1716	4970
77	1733	4934
78	1750	4897
79	1768	4864
80	1786	4831
81	1804	4796
82	1822	4764
83	1841	4736
84	1859	4703
85	1878	4675
86	1896	4642
87	1914	4612
88	1933	4583
89	1952	4554
90	1972	4530
91	1994	4510
92	2013	4480
93	2030	4450
94	2049	4423
95	2069	4397
96	2088	4371
97	2111	4352
98	2131	4328
99	2158	4317
100	2183	4302
101	2210	4291
102	2229	4264
103	2250	4240
104	2270	4217
105	2293	4196
106	2312	4171
107	2331	4145
108	2352	4121
109	2374	4101
110	2395	4078
111	2415	4054
112	2438	4035
113	2458	4010
114	2478	3987
115	2499	3964
116	2520	3941
117	2539	3917
118	2560	3894
119	2583	3874
120	2602	3849
121	2622	3825
122	2643	3804
123	2666	3784
124	2689	3765
125	2711	3743
126	2733	3723
127	2755	3702
128	2776	3680
129	2797	3658
130	2819	3637
131	2841	3615
132	2862	3594
133	2886	3575
134	2906	3552
135	2926	3528
136	2946	3505
137	2967	3484
138	2988	3461
139	3008	3438
140	3033	3421
141	3060	3405
142	3080	3382
143	3100	3359
144	3119	3335
145	3151	3323
146	3173	3303
147	3200	3287
148	3222	3265
149	3242	3242
150	3264	3221
151	3285	3198
152	3306	3176
153	3329	3156
154	3349	3132
155	3369	3110
156	3389	3087
157	3410	3064
158	3430	3042
159	3451	3019
160	3474	2999
161	3494	2976
162	3514	2953
163	3534	2931
164	3556	2909
165	3575	2886
166	3595	2863
167	3615	2841
168	3636	2819
169	3656	2795
170	3675	2772
171	3696	2750
172	3716	2728
173	3737	2706
174	3760	2685
175	3781	2664
176	3801	2641
177	3821	2618
178	3841	2596
179	3860	2573
180	3882	2552
181	3903	2530
182	3925	2509
183	3944	2486
184	3964	2464
185	3984	2442
186	4006	2421
187	4026	2398
188	4047	2376
189	4073	2358
190	4099	2339
191	4120	2317
192	4141	2296
193	4161	2273
194	4182	2252
195	4204	2231
196	4226	2209
197	4247	2187
198	4268	2166
199	4288	2144
200	4307	2121
201	4326	2098
202	4346	2077
203	4379	2060
204	4405	2041
205	4429	2021
206	4454	2001
207	4477	1980
208	4502	1960
209	4527	1940
210	4552	1920
211	4575	1899
212	4598	1878
213	4622	1857
214	4647	1837
215	4677	1819
216	4705	1799
217	4730	1779
218	4754	1758
219	4777	1737
220	4803	1717
221	4824	1695
222	4847	1673
223	4870	1652
224	4891	1630
225	4911	1608
226	4933	1586
227	4955	1564
228	4976	1542
229	4998	1521
230	5021	1499
231	5043	1478
232	5066	1456
233	5086	1434
234	5113	1414
235	5140	1394
236	5164	1372
237	5186	1351
238	5206	1328
239	5229	1307
240	5251	1285
241	5273	1263
242	5296	1242
243	5316	1220
244	5337	1198
245	5357	1176
246	5379	1154
247	5399	1132
248	5419	1110
249	5440	1088
250	5462	1066
251	5482	1044
252	5502	1022
253	5522	1000
254	5545	978
255	5567	956
256	5588	934
257	5608	912
258	5629	891
259	5649	869
260	5669	847
261	5690	825
262	5711	803
263	5730	781
264	5749	759
265	5769	737
266	5789	715
267	5809	693
268	5830	671
269	5853	650
270	5874	628
271	5894	606
272	5914	584
273	5934	563
274	5954	541
275	5974	519
276	5994	497
277	6016	476
278	6047	455
279	6068	433
280	6088	411
281	6109	389
282	6130	368
283	6158	346
284	6183	325
285	6203	303
286	6223	281
287	6243	260
288	6262	238
289	6283	216
290	6304	194
291	6323	173
292	6343	151
293	6362	129
294	6381	108
295	6398	86
296	6415	64
297	6435	43
298	6455	21
299	6473	0
